Datetime,Open,High,Low,Close,Volume
2024-08-16 17:00:00-04:00,2500.0,2548.300048828125,2469.199951171875,2546.199951171875,532451
2024-08-23 17:00:00-04:00,2549.699951171875,2570.39990234375,2506.39990234375,2548.699951171875,805134
2024-08-30 17:00:00-04:00,2545.10009765625,2564.300048828125,2526.60009765625,2535.89990234375,742815
2024-09-06 17:00:00-04:00,2536.0,2559.800048828125,2502.699951171875,2526.800048828125,719395
2024-09-13 17:00:00-04:00,2526.5,2614.39990234375,2514.199951171875,2606.199951171875,856980
2024-09-20 17:00:00-04:00,2608.0,2651.0,2572.5,2647.10009765625,887054
2024-09-27 17:00:00-04:00,2646.199951171875,2708.699951171875,2638.60009765625,2680.800048828125,937535
2024-10-04 17:00:00-04:00,2680.5,2694.699951171875,2646.199951171875,2673.199951171875,795755
2024-10-11 17:00:00-04:00,2671.699951171875,2679.199951171875,2618.800048828125,2674.199951171875,837242
2024-10-18 17:00:00-04:00,2673.10009765625,2737.800048828125,2654.39990234375,2736.39990234375,769545
2024-10-25 17:00:00-04:00,2736.300048828125,2772.60009765625,2722.10009765625,2760.800048828125,869384
2024-11-01 17:00:00-04:00,2749.199951171875,2801.800048828125,2736.89990234375,2745.800048828125,925847
2024-11-08 17:00:00-05:00,2743.5,2759.5,2650.300048828125,2691.699951171875,1098521
2024-11-15 17:00:00-05:00,2692.10009765625,2693.39990234375,2541.5,2567.39990234375,1145748
2024-11-22 17:00:00-05:00,2571.5,2718.5,2568.5,2718.199951171875,931638
2024-11-29 17:00:00-05:00,2716.89990234375,2723.199951171875,2605.300048828125,2684.89990234375,750741
2024-12-06 17:00:00-05:00,2673.800048828125,2682.0,2617.5,2654.89990234375,742573
2024-12-13 17:00:00-05:00,2665.0,2761.300048828125,2630.800048828125,2665.89990234375,967319
2024-12-20 17:00:00-05:00,2668.0,2683.39990234375,2596.699951171875,2640.800048828125,715225
2024-12-27 17:00:00-05:00,2639.10009765625,2655.699951171875,2623.199951171875,2636.5,285322
2025-01-03 17:00:00-05:00,2636.10009765625,2681.0,2608.39990234375,2652.699951171875,423795
2025-01-10 17:00:00-05:00,2652.800048828125,2735.0,2624.60009765625,2717.39990234375,890392
2025-01-17 17:00:00-05:00,2716.800048828125,2759.199951171875,2672.0,2739.800048828125,844350
2025-01-24 17:00:00-05:00,2739.60009765625,2794.800048828125,2725.5,2777.5,680749
2025-01-31 17:00:00-05:00,2778.10009765625,2862.89990234375,2732.0,2831.5,850759
2025-02-07 17:00:00-05:00,2846.5,2910.60009765625,2780.89990234375,2886.10009765625,897100
2025-02-14 17:00:00-05:00,2884.800048828125,2968.5,2879.89990234375,2893.699951171875,927570
2025-02-21 17:00:00-05:00,2895.10009765625,2973.39990234375,2887.60009765625,2949.60009765625,615341
2025-02-28 17:00:00-05:00,2950.39990234375,2974.0,2844.10009765625,2867.300048828125,939501
2025-03-07 17:00:00-05:00,2872.0,2941.300048828125,2866.300048828125,2917.699951171875,904623
2025-03-14 17:00:00-04:00,2919.60009765625,3017.10009765625,2882.5,2993.699951171875,971440
2025-03-21 17:00:00-04:00,2994.800048828125,3065.199951171875,2991.39990234375,3028.199951171875,772743
2025-03-28 17:00:00-04:00,3027.60009765625,3122.39990234375,3007.699951171875,3118.0,844216
2025-04-04 17:00:00-04:00,3118.800048828125,3201.60009765625,3011.0,3056.10009765625,1260373
2025-04-11 17:00:00-04:00,3055.10009765625,3263.0,2949.699951171875,3254.89990234375,1235525
2025-04-18 17:00:00-04:00,3246.0,3371.89990234375,3194.5,3341.300048828125,775586
2025-04-25 17:00:00-04:00,3347.0,3509.89990234375,3270.800048828125,3330.199951171875,1439996
2025-05-02 17:00:00-04:00,3336.5,3363.800048828125,3209.39990234375,3247.39990234375,990643
2025-05-09 17:00:00-04:00,3247.10009765625,3448.199951171875,3243.10009765625,3329.10009765625,1193910
2025-05-16 17:00:00-04:00,3281.0,3295.5,3123.300048828125,3205.300048828125,1196252
2025-05-23 17:00:00-04:00,3220.0,3366.5,3207.39990234375,3357.699951171875,1084614
2025-05-30 17:00:00-04:00,3355.60009765625,3356.300048828125,3242.39990234375,3313.10009765625,812382
2025-06-06 17:00:00-04:00,3323.0,3427.699951171875,3319.39990234375,3331.0,895607
2025-06-13 17:00:00-04:00,3333.39990234375,3468.0,3313.10009765625,3452.60009765625,969192
